Date,Ligand,alphStatCov,Dose,Time,Kurtosis,Variance,Mean,Skew,Cell,Bivalent
11/8/2019,WT N-term,2133452.8995544636,0.345679,0.5,3.6419187,146741070.0,7279.8037,1.9946705,Thelper,1
11/8/2019,WT N-term,547011.612034966,0.115226,0.5,21.927704,18275764.0,1778.0593,4.041005,Thelper,1
11/8/2019,WT N-term,153662.62047667912,0.038409,0.5,56.119247,5116962.0,823.2837,5.356229,Thelper,1
11/8/2019,WT N-term,33212.32536987246,0.012803,0.5,5161.525,7253626.5,304.17578,60.69439,Thelper,1
11/8/2019,WT N-term,-26416.636749706544,0.004268,0.5,2601.1072,22134630.0,353.86987,45.21883,Thelper,1
11/8/2019,WT N-term,-40741.3822944676,0.001423,0.5,5375.84,11734562.0,338.21777,65.237915,Thelper,1
11/8/2019,WT N-term,-44497.913012693294,0.000474,0.5,2402.5093,4322103.0,389.64648,36.735203,Thelper,1
11/8/2019,H16N N-term,2827918.551620325,84.0,4.0,13.011042,346182500.0,20338.617,2.3590977,Treg,0
11/8/2019,H16N N-term,2836843.751297861,28.0,4.0,1.136692,303420350.0,18597.012,1.0017121,Treg,0
11/8/2019,H16N N-term,2933755.6249436066,9.333333,4.0,16.820204,344402430.0,17668.953,2.4559038,Treg,0
11/8/2019,H16N N-term,2830608.911082364,3.111,4.0,1.9356065,288436900.0,16470.98,1.2666762,Treg,0
11/8/2019,H16N N-term,759053.9770104663,1.037037,4.0,863.37866,180114670000.0,31106.148,29.395084,Treg,0
11/8/2019,H16N N-term,2997919.1914171497,0.345679,4.0,908.43365,2632427800.0,15454.845,29.01759,Treg,0
11/8/2019,H16N N-term,17026919.985012915,0.115226,4.0,781.21735,67225250000.0,21312.04,27.952356,Treg,0
11/8/2019,H16N N-term,2135276.8736285903,0.038409,4.0,1.1758189,120662184.0,10282.765,1.1696557,Treg,0
11/8/2019,H16N N-term,1709619.4237970912,0.012803,4.0,396.2484,371161060.0,7201.6924,17.2498,Treg,0
11/8/2019,H16N N-term,1147607.4770127102,0.004268,4.0,45.900284,96719030.0,3638.124,4.3020205,Treg,0
11/8/2019,H16N N-term,1531205.4274811582,0.001423,4.0,7.4945383,102991580.0,4759.282,1.9574928,Treg,0
11/8/2019,H16N N-term,810945.1238310634,0.000474,4.0,14.25182,93394664.0,1714.5947,2.5703702,Treg,0
11/8/2019,H16N N-term,2507615.72519449,84.0,2.0,7.193467,329562900.0,18534.46,1.8293685,Treg,0
11/8/2019,H16N N-term,2725638.6337817293,28.0,2.0,0.6201098,290448420.0,17204.25,0.9410222,Treg,0
11/8/2019,H16N N-term,2307784.388290726,9.333333,2.0,1.3764753,254876130.0,16315.907,1.0599551,Treg,0
11/8/2019,H16N N-term,2358591.6090743775,3.111,2.0,0.59084725,231063140.0,14376.159,1.0170294,Treg,0
11/8/2019,H16N N-term,3015956.556829102,1.037037,2.0,62.929512,300571650.0,11755.622,5.472079,Treg,0
11/8/2019,H16N N-term,17997708.922368348,0.345679,2.0,830.9606,218669710000.0,26529.367,28.746193,Treg,0
11/8/2019,H16N N-term,1329174.5256326227,0.115226,2.0,5.9289665,85659320.0,6422.6123,1.6945251,Treg,0
11/8/2019,H16N N-term,1779379.7565293722,0.038409,2.0,813.5074,676177900.0,5241.7744,26.870697,Treg,0
11/8/2019,H16N N-term,588490.5824736862,0.012803,2.0,681.61633,566316740.0,4928.296,24.347525,Treg,0
11/8/2019,H16N N-term,926701.4184707907,0.004268,2.0,500.36945,335066340.0,2957.37,19.603868,Treg,0
11/8/2019,H16N N-term,1213895.597060918,0.001423,2.0,5.3388577,78587944.0,1871.125,1.7994301,Treg,0
11/8/2019,H16N N-term,1009330.9499487833,0.000474,2.0,1.8349075,79219570.0,3475.4062,1.2098451,Treg,0
11/8/2019,H16N N-term,2359594.5667124554,84.0,1.0,1.4140363,340865860.0,20623.203,1.0155174,Treg,0
11/8/2019,H16N N-term,2203865.5816978025,28.0,1.0,21.39405,344421470.0,18076.188,2.6903894,Treg,0
11/8/2019,H16N N-term,2103365.9825584847,9.333333,1.0,2.075667,219163140.0,13566.206,1.2527562,Treg,0
11/8/2019,H16N N-term,2158563.931755635,3.111,1.0,1.3115835,205464580.0,13529.829,1.19924,Treg,0
11/8/2019,H16N N-term,2110883.1763870167,1.037037,1.0,4.8071723,161605780.0,8956.12,2.0279648,Treg,0
